scenario,recipes,profit_gt_100,profit_gt_200,profit_gt_500,profit_gt_1000,buildings_30,buildings_80,buildings_150,units_sold_30,units_sold_80,units_sold_150,fully_integrated,bankruptcy_turn,max_bankruptcy_streak,average_port_distance,grid_bought_after_integration,integration_scope,assertions_failed,starting_money,expansion_loans,expansion_principal,loan_gate_rejections,cash_cushion_waits,emergency_bridge_loans
Motors,r_009,16,-1,-1,-1,8,8,8,1000,6095,13235,-1,41,59,3.0,0,"base motors through an initially market-fed steel/copper chain, then pig iron, iron/copper/coal extraction, water and owned coal power",4,1900.0,3,670.953778588578,0,16,44
Motors Road 1200,r_009,-1,-1,-1,-1,4,4,4,0,0,0,-1,14,51,2.0,0,"base motors through a downstream steel/copper hub, then nearby pig iron, iron/copper/coal extraction, water and owned coal power using road freight",8,1200.0,0,0.0,0,0,22
Motors Metal Path 1200,r_009,-1,-1,-1,-1,3,4,10,888,4549,7289,-1,-1,0,2.0,0,"blank-start motors from stock-controlled water and market-fed coal power through pig iron, steel, copper, wiring and motors; coal, iron, copper and a second power block are attempted after motors",4,1200.0,5,1104.11516199118,1,1,2
Motors Metal Magnate,r_009,24,-1,-1,-1,6,16,16,3060,10530,10139,-1,-1,0,0.0,0,"the exact Metal Magnate start — £300, four inherited buildings, three owned tiles, seeded inputs, authored infrastructure/routes, no opening debt and four +10% metal legacies — expanded downstream to motors and then fully integrated",2,300.0,0,0.0,0,0,0
Electrochem,"r_012, r_079, r_080",31,-1,-1,-1,6,19,20,442,2843,7176,-1,-1,3,3.0,0,all scenario targets,15,1900.0,11,2151.19840856993,0,0,71
Advanced Materials,"r_020, r_044, r_076, r_082",31,136,-1,-1,6,18,22,442,3719,8499,-1,-1,3,3.0,0,all scenario targets,2,1900.0,5,654.397482442293,0,2,8
Batteries,"r_099, r_102, r_136",31,-1,-1,-1,6,17,21,442,1220,2403,-1,-1,3,3.0,0,"LFP manufactured inputs to raw lithium ore, salts and graphite; sodium-ion and iron-air remain standalone comparison lines",6,1900.0,3,539.294481942013,0,0,10
